link,title,rating_text,total_review,original_price,discounted_price
https://www.amazon.com/dp/B07NM3RSRQ,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",4.5,"79,791",,
https://www.amazon.com/dp/B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),4.7,"39,383",,
https://www.amazon.com/dp/B08WM298TV,"JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - White, Medium",4.6,"63,401",$39.95,$29.95
https://www.amazon.com/dp/B0BS1PRC4L,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone, Black New",4.5,"13,438",,
https://www.amazon.com/dp/B08PZD76NP,"Apple AirPods Max Wireless Over-Ear Headphones, Active Noise Cancelling, Transparency Mode, Personalized Spatial Audio, Dolby Atmos, Bluetooth Headphones for iPhone – Silver",4.6,"3,164",,
https://www.amazon.com/dp/B0BS1QCFHX,"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",4.4,"6,377",,
https://www.amazon.com/dp/B0CT9XTKKM,"JBL TUNE 770NC - Adaptive Noise Cancelling with Smart Ambient Wireless Over-Ear Headphones, Bluetooth 5.3, Up to 70H battery life with speed charge, Lightweight, comfortable & foldable design (Black)",4.4,404,$129.95,$99.95
https://www.amazon.com/dp/B0C8W4NMX8,"Wired On-Ear Leather Headphones with 3.5mm Connector, Bulk Wholesale, 10 Pack, Assorted Colors",3.9,206,,
https://www.amazon.com/dp/B0CGMV5TMR,"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H battery life and speed charge, Lightweight, comfortable and foldable design, Hands-free calls with Voice Aware (Blue)",4.5,"1,216",$49.95,$39.95
https://www.amazon.com/dp/B0D14R85TZ,"Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, Headphones Wireless with Transparency Mode, Deep Bass, Comfort Fit Ear Cups, 30 Hrs, for Home Office Travel",5.0,48,$39.99,$33.99
https://www.amazon.com/dp/B07HH1QSLB,"Amazon Basics In Ear Wired Headphones, Earbuds with Microphone No Wireless Technology, 51.18 x 0.79 x 0.51 inches, Black",4.2,"18,519",$7.99,$6.79
https://www.amazon.com/dp/B01N6ZJH96,OneOdio Wired Over Ear Headphones Studio Monitor & Mixing DJ Stereo Headsets with 50mm Neodymium Drivers and 1/4 to 3.5mm Jack for AMP Computer Recording Podcast Keyboard Guitar Laptop - Black,4.4,"68,230",$34.99,$28.99
https://www.amazon.com/dp/B00Q6P4CMA,"Sony MDREX15LP in-Ear Earbud Headphones, Black, Model Number: MDREX15LP/B",4.3,"33,700",$14.99,$7.49
https://www.amazon.com/dp/B08HMWZBXC,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth, Multipoint Connection",4.5,"71,597",,
https://www.amazon.com/dp/B09WZC1MZ6,"10 Pack Multi Color Kid's Wired On Ear Headphones, Individually Bagged, Disposable Headphones Ideal for Students in Classroom Libraries Schools, Bulk Wholesale",4.1,546,,
https://www.amazon.com/dp/B0CBLLJTTN,"Skullcandy Hesh Evo Wireless Headphones with Charging Cable, 36 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - True Black",4.4,433,$104.99,$59.88
https://www.amazon.com/dp/B000AJIF4E,Sony MDR7506 Professional Large Diaphragm Headphone,4.7,"25,582",,$98.00
https://www.amazon.com/dp/B006T9ZKAQ,"Koss KPH7 Lightweight Portable Headphone, Black",4.3,"8,978",$5.99,$5.49
https://www.amazon.com/dp/B0BQPW9R9H,"JBL Endurance Peak 3 - True Wireless Headphones (Black), Small",4.1,"2,361",$99.95,$79.95
https://www.amazon.com/dp/B0734S1YBS,"Otium Bluetooth Earbuds Wireless Headphones Bluetooth Headphones, Sports Earbuds, IPX7 Waterproof Stereo Earphones for Gym Running 15 Hours Playtime Sound Isolation Headsets,Black",4.3,"16,083",$19.99,$15.79
https://www.amazon.com/dp/B08KHT2HDT,"Marshall Major IV On-Ear Bluetooth Headphone, Black",4.6,"12,763",$149.99,$99.99
https://www.amazon.com/dp/B0CCZ1HQ39,"Bose QuietComfort Ultra Bluetooth Headphones, Wireless Headphones with Spatial Audio, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, White Smoke",4.3,"2,974",$429.00,$349.00
https://www.amazon.com/dp/B00HVLUQW8,"Audio-Technica ATH-M30x Professional Studio Monitor Headphones, Black",4.6,"11,414",$69.00,$59.00
https://www.amazon.com/dp/B09CY995KT,"Bluetooth Headphones Over Ear, 60 Hours Playtime Foldable Headphones Wireless Bluetooth Hi-Fi Stereo Deep Bass with 6 EQ Modes, Adjustable Lightweight Headset with Microphone, FM, SD/TF for Adults",4.3,"11,113",$29.99,$19.98
https://www.amazon.com/dp/B0CCZC9J1V,"Bose QuietComfort Bluetooth Headphones, Wireless Headphones, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, White Smoke",4.6,"4,230",$349.00,$249.00
https://www.amazon.com/dp/B07RFNZYJZ,Sennheiser Consumer Audio HD 599 SE Around Ear Open Back Headphone - Black,4.7,"8,928",$199.95,$129.99
https://www.amazon.com/dp/B09JL65GNM,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Sage Gray",4.4,"38,791",,
https://www.amazon.com/dp/B08HDBZNZ9,"INFURTURE Active Noise Cancelling Headphones, H1 Wireless Over Ear Bluetooth Headphones, Deep Bass Headset, Low Latency, Memory Foam Ear Cups,40H Playtime",4.4,"16,647",,
https://www.amazon.com/dp/B0863TXGM3,"Sony WH-1000XM4 Wireless Premium Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black WH1000XM4",4.6,"57,054",$348.00,$198.00
https://www.amazon.com/dp/B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,"102,292",,
https://www.amazon.com/dp/B0CZPLV566,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Matte Black",4.5,988,,
https://www.amazon.com/dp/B0C8PWSW7T,"Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life - Navy",4.5,"10,499",,
https://www.amazon.com/dp/B09BW1T7X2,"SHOKZ OpenRun (AfterShokz Aeropex) - Open-Ear Bluetooth Bone Conduction Sport Headphones - Sweat Resistant Wireless Earphones for Workouts and Running - Built-in Mic, with Headband…",4.6,"28,808",,$129.95
https://www.amazon.com/dp/B09XSDMT4F,"Sony WH-1000XM5 The Best Wireless Noise Canceling Headphones with Auto Noise Canceling Optimizer, Crystal Clear Hands-Free Calling, and Alexa Voice Control, Silver",4.4,"14,657",$399.99,$328.00
https://www.amazon.com/dp/B0CL8B1FR1,"DALI IO-12 Over-The-Ear Wireless/Wired Hi-Fi Headphones with ANC, Bluetooth AptX & Patented SMC Driver Technology, 35 hours Battery Life",4.9,20,,"$1,300.00"
https://www.amazon.com/dp/B07WDRPXLB,"LG Tone Style HBS-SL5 Bluetooth Wireless Stereo Neckband Earbuds Tuned by Meridian Audio,Black, 2.3",4.3,"9,423",$89.99,$79.99
https://www.amazon.com/dp/B0BVRJXH27,"Active Noise Cancelling Headphones, 100H Playtime Headphones Wireless Bluetooth, Bluetooth Headphones with Microphone, Over Ear Wireless Headphones with Deep Bass,Fast Charging for Travel,Office,Home",4.3,876,,
https://www.amazon.com/dp/B085899TQ9,"PHILIPS Over Ear Wired Stereo Headphones for Podcasts, Studio Monitoring and Recording Headset for Computer, Keyboard and Guitar with 6.3 mm (1/4"") Add On Adapter",4.1,"3,094",,$19.99
https://www.amazon.com/dp/B0B75MQJQR,"Skullcandy Riff 2 On-Ear Wireless Headphones, 34 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Black",4.4,"7,946",$49.99,$39.88
https://www.amazon.com/dp/B0D3RP6TST,"Skullcandy Crusher ANC 2 Over-Ear Noise Canceling Wireless Headphones with Sensory Bass and Charging Cable, 50 Hr Battery, Skull-iQ, Alexa Enabled, Microphone, Works with Bluetooth Devices - Bone",4.5,214,$229.99,$181.72
https://www.amazon.com/dp/B00E4LGVUO,"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Microphone and Call Controller, Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops - RP-TCM125-K (Black)",4.3,"140,007",,$19.53
https://www.amazon.com/dp/B00018MSNI,"Sennheiser Consumer Audio HD 650 - Audiophile Hi-Res Open Back Dynamic Headphone, Titan",4.6,"2,865",$499.95,$399.95
https://www.amazon.com/dp/B0C4PB9TZ1,"AILIHEN Kids Headphones Bulk for School, 6-Pack Class Headphones Wired with Microphone for Students, Teens, Classroom, Library, Chromebook, Laptop, Adjustable, Foldable, 3.5mm Jack - (Multicolor)",4.5,260,,
https://www.amazon.com/dp/B087JW59FX,"ARTIX CL750 On-Ear Headphones for Laptop, Computer, Cell Phone & Tablet with 3.5mm Jack — Adults & Kids Headphones Wired, Headphones Plug in, Head Phones for Laptop, Headphones with Wire (Aux 3.5 mm)",4.3,"16,941",,
https://www.amazon.com/dp/B08HBBF6FR,"Panasonic Lightweight Over The Ear Wired Headphones with Microphone, Sound and XBS for Extra Bass, Long Cord, 3.5mm Jack for Phones and Laptops – RP-HT161M (Black)",4.3,"31,597",,$21.99
https://www.amazon.com/dp/B08QBCXZXP,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, Class 1 Bluetooth, 12 Hours of Listening Time, Built-in Microphone - Flame Blue",4.3,"53,476",,
https://www.amazon.com/dp/B00IT0IHOY,"Sennheiser HD 280 Pro Headphone, Black",4.6,"11,924",,
https://www.amazon.com/dp/B004HIN9WC,JVC HAS160R Flat Headphones - Red,4.4,"9,369",,$12.79
