link,title,rating_text,total_review,original_price,discounted_price
https://www.amazon.com/dp/1718502702,"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",4.8,"1,162",$49.99,$26.86
https://www.amazon.com/dp/1593279922,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",4.7,"3,204",$39.95,$22.04
https://www.amazon.com/dp/1449355730,Learning Python: Powerful Object-Oriented Programming,4.5,"1,919",$74.99,$48.83
https://www.amazon.com/dp/1492056359,"Fluent Python: Clear, Concise, and Effective Programming",4.8,441,$79.99,$40.44
https://www.amazon.com/dp/149322302X,Python 3: The Comprehensive Guide to Hands-On Python Programming,4.7,116,$59.95,$53.99
https://www.amazon.com/dp/B0CSY7BL6Q,Python Programming for Beginners: The Complete Python Coding Crash Course - Boost Your Growth with an Innovative Ultra-Fast Learning Framework and Exclusive Hands-On Interactive Exercises & Projects,4.7,411,$16.80,$15.96
https://www.amazon.com/dp/B0BTRRLCYZ,Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,4.4,660,$23.97,$22.77
https://www.amazon.com/dp/1423241886,Python Programming Language: a QuickStudy Laminated Reference Guide,4.6,"2,301",,$7.95
https://www.amazon.com/dp/109810403X,"Python for Data Analysis: Data Wrangling with pandas, NumPy, and Jupyter",4.5,300,$79.99,$41.95
https://www.amazon.com/dp/B0CSY7BL6Q,Python Programming for Beginners: The Complete Python Coding Crash Course - Boost Your Growth with an Innovative Ultra-Fast Learning Framework and Exclusive Hands-On Interactive Exercises & Projects,4.7,411,$16.80,$15.96
https://www.amazon.com/dp/B071Z2Q6TQ,Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),4.5,"2,050",,$0.00
https://www.amazon.com/dp/1449357016,Python Pocket Reference: Python in Your Pocket,4.5,962,$24.99,$13.79
https://www.amazon.com/dp/163610035X,Python QuickStart Guide: The Simplified Beginner's Guide to Python Programming Using Hands-On Projects and Real-World Applications (Coding & Programming - QuickStart Guides),4.5,173,$34.99,$24.99
https://www.amazon.com/dp/1718501242,The Big Book of Small Python Projects: 81 Easy Practice Programs,4.6,209,$39.99,$29.19
https://www.amazon.com/dp/1423244230,Python Standard Library: a QuickStudy Laminated Reference Guide (QuickStudy Computer),4.7,504,$7.95,$6.95
https://www.amazon.com/dp/1593277954,"Invent Your Own Computer Games with Python, 4th Edition",4.7,508,$29.99,$18.99
https://www.amazon.com/dp/1641521759,Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,4.5,"1,719",$19.99,$13.21
https://www.amazon.com/dp/1394236158,Python All-in-One For Dummies (For Dummies: Learning Made Easy),3.9,22,$44.99,$32.30
https://www.amazon.com/dp/149205769X,Python for DevOps: Learn Ruthlessly Effective Automation,4.5,267,$59.99,$32.99
https://www.amazon.com/dp/1718501129,"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",4.6,644,$44.99,$40.54
https://www.amazon.com/dp/B0BRYWKKVJ,Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (2024) (Computer Programming),4.3,332,$35.99,$32.02
https://www.amazon.com/dp/1593279280,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",4.7,"8,412",,
https://www.amazon.com/dp/1098155432,Think Python: How to Think Like a Computer Scientist,4.2,4,$48.99,$39.14
https://www.amazon.com/dp/B0BZF8R4BZ,Python Practice Makes a Master: 120 ‘Real World’ Python Exercises with more than 220 Concepts Explained (Mastering Python Programming from Scratch),4.3,58,$39.50,$37.52
https://www.amazon.com/dp/B0785Q7GSY,Python Tricks: A Buffet of Awesome Python Features,4.6,"1,882",$9.99,$8.99
https://www.amazon.com/dp/B0D765WWK9,"Python, Javascript, Java, SQL, Linux: The Complete Coding and Developing Crash Course for Beginners (2024) (Computer Programming)",4.7,68,$31.99,$30.39
https://www.amazon.com/dp/1492051365,Introducing Python: Modern Computing in Simple Packages,4.7,440,$55.99,$30.99
https://www.amazon.com/dp/B01IA5VIFM,Python for Everybody: Exploring Data in Python 3,4.6,"3,101",,$0.99
